Substance Name,Substance ID,Published Report Count inc cellar,ID List URL,Data XML Blob,Alternate/Other Names,Equiv (Child) Substance IDs
 1P-LSD                                        ,682,119," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=682&amp;max=120"">Experience List</a> "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=682&amp;format=xml"">Experience Data</a> ", 1-propionyl-lysergic acid diethylamide                                                                                                  ,                                                                                                                                                              
 2C-C                                          ,262,116," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=262&amp;max=117"">Experience List</a> "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=262&amp;format=xml"">Experience Data</a> ",                                                                                                                                         ,                                                                                                                                                              
 5-MeO-MIPT                                    ,287,115," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=287&amp;max=116"">Experience List</a> "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=287&amp;format=xml"">Experience Data</a> "," 5-Methoxy-N,N-Methylisopropyltryptamine                                                                                                 ",                                                                                                                                                              
 Cacti - T. peruvianus                         ,69,115," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=69&amp;max=116"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=69&amp;format=xml"">Experience Data</a>  ", Trichocereus peruvianus; Peruvian Torch                                                                                                 ,                                                                                                                                                              
 4-HO-MET                                      ,436,114," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=436&amp;max=115"">Experience List</a> "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=436&amp;format=xml"">Experience Data</a> ", N-ethyl-4-hydroxy-N-methyltryptamine                                                                                                    ,                                                                                                                                                              
 Pharms - Sertraline                           ,88,113," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=88&amp;max=114"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=88&amp;format=xml"">Experience Data</a>  ", Zoloft                                                                                                                                  ,                                                                                                                                                              
 OBE                                           ,332,112," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=332&amp;max=113"">Experience List</a> "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=332&amp;format=xml"">Experience Data</a> ", Out of Body Experience                                                                                                                  ,                                                                                                                                                              
 Wormwood                                      ,50,112," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=50&amp;max=113"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=50&amp;format=xml"">Experience Data</a>  ", Artemisia absinthium                                                                                                                    ,                                                                                                                                                              
 JWH-018                                       ,483,111," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=483&amp;max=112"">Experience List</a> "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=483&amp;format=xml"">Experience Data</a> ",                                                                                                                                         ,                                                                                                                                                              
 Mescaline                                     ,36,106," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=36&amp;max=107"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=36&amp;format=xml"">Experience Data</a>  ",                                                                                                                                         ,                                                                                                                                                              
 Tobacco - Cigarettes                          ,266,106," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=266&amp;max=107"">Experience List</a> "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=266&amp;format=xml"">Experience Data</a> ",                                                                                                                                         ,                                                                                                                                                              
 Brugmansia                                    ,84,105," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=84&amp;max=106"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=84&amp;format=xml"">Experience Data</a>  ", Tree Datura                                                                                                                             ,                                                                                                                                                              
 DOC                                           ,357,105," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=357&amp;max=106"">Experience List</a> "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=357&amp;format=xml"">Experience Data</a> "," 4-Chloro-2,5-dimethoxy-Amphetamine                                                                                                      ",                                                                                                                                                              
 Huasca Brew                                   ,268,104," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=268&amp;max=105"">Experience List</a> "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=268&amp;format=xml"">Experience Data</a> ", Brews containing DMT or 5-MeO DMT and an MAOI                                                                                           ,                                                                                                                                                              
 Leonotis leonurus                             ,119,103," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=119&amp;max=104"">Experience List</a> "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=119&amp;format=xml"">Experience Data</a> ", Lion's Tail; Wild Dagga                                                                                                                 ,                                                                                                                                                              
 Sceletium tortuosum                           ,179,103," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=179&amp;max=104"">Experience List</a> "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=179&amp;format=xml"">Experience Data</a> ", Kanna; Zembrin                                                                                                                          ,                                                                                                                                                              
 Piracetam                                     ,95,102," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=95&amp;max=103"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=95&amp;format=xml"">Experience Data</a>  ",                                                                                                                                         ,                                                                                                                                                              
 Tryptophan - 5-HTP                            ,196,101," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=196&amp;max=102"">Experience List</a> "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=196&amp;format=xml"">Experience Data</a> ", 5 Hydroxy L-Tryptophan                                                                                                                  ,                                                                                                                                                              
 Passion Flower                                ,121,99," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=121&amp;max=100"">Experience List</a> "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=121&amp;format=xml"">Experience Data</a> ", Passiflora                                                                                                                              ,                                                                                                                                                              
 Yohimbe                                       ,96,99," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=96&amp;max=100"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=96&amp;format=xml"">Experience Data</a>  ",                                                                                                                                         ,                                                                                                                                                              
 GBL                                           ,89,96," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=89&amp;max=97"">Experience List</a>   "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=89&amp;format=xml"">Experience Data</a>  ", Gamma butyrlactone; Lactone                                                                                                             ,                                                                                                                                                              
 2C-P                                          ,305,94," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=305&amp;max=95"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=305&amp;format=xml"">Experience Data</a> ",                                                                                                                                         ,                                                                                                                                                              
 Ephedrine                                     ,23,92," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=23&amp;max=93"">Experience List</a>   "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=23&amp;format=xml"">Experience Data</a>  ",                                                                                                                                         ,                                                                                                                                                              
 Anadenanthera colubrina                       ,139,89," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=139&amp;max=90"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=139&amp;format=xml"">Experience Data</a> ", Cebil; Vilca                                                                                                                            ,                                                                                                                                                              
 4-HO-MiPT                                     ,342,89," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=342&amp;max=90"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=342&amp;format=xml"">Experience Data</a> ", 4-Hydroxy-MiPT                                                                                                                          ,                                                                                                                                                              
 6-APB                                         ,516,88," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=516&amp;max=89"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=516&amp;format=xml"">Experience Data</a> ", 6-(2-aminopropyl)benzofuran; Benzo fury                                                                                                 ,                                                                                                                                                              
 AL-LAD                                        ,603,86," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=603&amp;max=87"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=603&amp;format=xml"">Experience Data</a> ", 6-allyl-6-nor-lysergic acid diethylamide                                                                                                ,                                                                                                                                                              
 Ether                                         ,131,86," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=131&amp;max=87"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=131&amp;format=xml"">Experience Data</a> ",                                                                                                                                         ,                                                                                                                                                              
 Mushrooms - P. semilanceata                   ,90,85," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=90&amp;max=86"">Experience List</a>   "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=90&amp;format=xml"">Experience Data</a>  ", Psilocybe semilanceata; Liberty Cap                                                                                                     ,                                                                                                                                                              
 Opium                                         ,63,83," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=63&amp;max=84"">Experience List</a>   "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=63&amp;format=xml"">Experience Data</a>  ",                                                                                                                                         ,                                                                                                                                                              
 2C-D                                          ,103,80," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=103&amp;max=81"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=103&amp;format=xml"">Experience Data</a> ",                                                                                                                                         ,                                                                                                                                                              
 DiPT                                          ,110,80," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=110&amp;max=81"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=110&amp;format=xml"">Experience Data</a> ",                                                                                                                                         ,                                                                                                                                                              
 5-MeO-DALT                                    ,321,79," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=321&amp;max=80"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=321&amp;format=xml"">Experience Data</a> ",                                                                                                                                         ,                                                                                                                                                              
 Hydromorphone                                 ,300,78," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=300&amp;max=79"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=300&amp;format=xml"">Experience Data</a> ", Dilaudid                                                                                                                                ,                                                                                                                                                              
 4-Fluoroamphetamine                           ,276,78," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=276&amp;max=79"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=276&amp;format=xml"">Experience Data</a> ", 4-FA; 4FMP                                                                                                                              ,                                                                                                                                                              
 Pharms - Cyclobenzaprine                      ,267,77," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=267&amp;max=78"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=267&amp;format=xml"">Experience Data</a> ", Flexeril                                                                                                                                ,                                                                                                                                                              
 Pharms - Fluoxetine                           ,80,77," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=80&amp;max=78"">Experience List</a>   "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=80&amp;format=xml"">Experience Data</a>  ", Prozac                                                                                                                                  ,                                                                                                                                                              
 Pharms - Mirtazapine                          ,311,77," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=311&amp;max=78"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=311&amp;format=xml"">Experience Data</a> ", Remeron; Zispin; Avanza; Norset                                                                                                         ,                                                                                                                                                              
 Pharms - Carisoprodol                         ,186,76," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=186&amp;max=77"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=186&amp;format=xml"">Experience Data</a> ", Soma                                                                                                                                    ,                                                                                                                                                              
 Anadenanthera peregrina                       ,285,75," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=285&amp;max=76"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=285&amp;format=xml"">Experience Data</a> ", Yopo                                                                                                                                    ,                                                                                                                                                              
 Various                                       ,136,75," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=136&amp;max=76"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=136&amp;format=xml"">Experience Data</a> ",                                                                                                                                         ,                                                                                                                                                              
 Pharms - Oxymorphone                          ,221,74," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=221&amp;max=75"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=221&amp;format=xml"">Experience Data</a> ", Opana; Numorphan                                                                                                                        ,                                                                                                                                                              
" 1,4-Butanediol                                ",51,74," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=51&amp;max=75"">Experience List</a>   "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=51&amp;format=xml"">Experience Data</a>  "," 1,4-B; 14B                                                                                                                              ",                                                                                                                                                              
 Chlorpheniramine Maleate                      ,164,72," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=164&amp;max=73"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=164&amp;format=xml"">Experience Data</a> ", CPM                                                                                                                                     ,                                                                                                                                                              
 DOB                                           ,19,71," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=19&amp;max=72"">Experience List</a>   "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=19&amp;format=xml"">Experience Data</a>  ",                                                                                                                                         ,                                                                                                                                                              
 Pharms - Olanzapine                           ,260,71," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=260&amp;max=72"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=260&amp;format=xml"">Experience Data</a> ", Zyprexa                                                                                                                                 ,                                                                                                                                                              
 Heimia salicifolia                            ,150,71," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=150&amp;max=72"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=150&amp;format=xml"">Experience Data</a> ", Sinicuichi                                                                                                                              ,                                                                                                                                                              
 Pharms - Trazodone                            ,294,69," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=294&amp;max=70"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=294&amp;format=xml"">Experience Data</a> ", Beneficat; Deprax; Desirel; Desyrel                                                                                                     ,                                                                                                                                                              
 Yerba Mate                                    ,282,68," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=282&amp;max=69"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=282&amp;format=xml"">Experience Data</a> ", Ilex paraguariensis                                                                                                                     ,                                                                                                                                                              
 Psychotria viridis                            ,170,68," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=170&amp;max=69"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=170&amp;format=xml"">Experience Data</a> ", chacruna                                                                                                                                ,                                                                                                                                                              
 BZP                                           ,101,67," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=101&amp;max=68"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=101&amp;format=xml"">Experience Data</a> ", benzylpiperazine; A2                                                                                                                    ,                                                                                                                                                              
 Pharms - Escitalopram                         ,304,66," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=304&amp;max=67"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=304&amp;format=xml"">Experience Data</a> ", Lexapro                                                                                                                                 ,                                                                                                                                                              
 4-HO-DiPT                                     ,281,66," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=281&amp;max=67"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=281&amp;format=xml"">Experience Data</a> ", 4-Hydroxy-DiPT                                                                                                                          ,                                                                                                                                                              
 Changa                                        ,816,65," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=816&amp;max=66"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=816&amp;format=xml"">Experience Data</a> ", Smoked MAOI (usually B. caapi) &amp; DMT (or 5-MeO-DMT) in herbal form                                                                  ,                                                                                                                                                              
 Tabernanthe iboga                             ,200,65," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=200&amp;max=66"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=200&amp;format=xml"">Experience Data</a> ", Iboga                                                                                                                                   ,                                                                                                                                                              
 Naloxone                                      ,339,64," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=339&amp;max=65"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=339&amp;format=xml"">Experience Data</a> ", Narcan; Suboxone                                                                                                                        ,                                                                                                                                                              
 Pharms - Citalopram                           ,227,63," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=227&amp;max=64"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=227&amp;format=xml"">Experience Data</a> ", Cipramil; Celexa                                                                                                                        ,                                                                                                                                                              
 Opiates                                       ,207,62," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=207&amp;max=63"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=207&amp;format=xml"">Experience Data</a> ",                                                                                                                                         ," 14, 211, 63, 43, 27                                                                                                                                          "
" Products - Bath Salts, Plant Food, etc        ",521,62," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=521&amp;max=63"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=521&amp;format=xml"">Experience Data</a> ", Bath Salts; Plant Food; Fertilizer                                                                                                      ,                                                                                                                                                              
 Coffee                                        ,173,61," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=173&amp;max=62"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=173&amp;format=xml"">Experience Data</a> ",                                                                                                                                         ,                                                                                                                                                              
 4-AcO-DET                                     ,188,61," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=188&amp;max=62"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=188&amp;format=xml"">Experience Data</a> ", 4-acetoxy-DET; CZ-74; ethylacybin                                                                                                       ,                                                                                                                                                              
 Yoga / Bodywork                               ,202,60," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=202&amp;max=61"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=202&amp;format=xml"">Experience Data</a> ",                                                                                                                                         ,                                                                                                                                                              
 4-AcO-DiPT                                    ,55,57," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=55&amp;max=58"">Experience List</a>   "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=55&amp;format=xml"">Experience Data</a>  ", 4-Acetoxy-DiPT                                                                                                                          ,                                                                                                                                                              
